FECHA,DEM,TMAX,TMIN,FEST,ANNO,MES,DIA,DIASEM
01/01/2014,8.12795,20.1,14.3,1,2014,1,1,4
02/01/2014,9.5021,20,13.6,0,2014,1,2,5
03/01/2014,9.45535,20.9,14.3,0,2014,1,3,6
04/01/2014,8.94336666666666,22.3,16.7,0,2014,1,4,7
05/01/2014,8.57225,20.9,16.1,0,2014,1,5,1
06/01/2014,8.1096,20,14.7,1,2014,1,6,2
07/01/2014,9.67066666666667,21.6,14.6,0,2014,1,7,3
08/01/2014,9.77686666666667,26.2,14.9,0,2014,1,8,4
09/01/2014,9.72283333333333,18.7,13.3,0,2014,1,9,5
10/01/2014,9.64263333333333,21.5,12.5,0,2014,1,10,6
11/01/2014,9.15266666666667,20.5,13.9,0,2014,1,11,7
12/01/2014,8.45156666666667,21,13.4,0,2014,1,12,1
13/01/2014,9.40501666666667,21.4,16.3,0,2014,1,13,2
14/01/2014,9.4119,20.4,16.7,0,2014,1,14,3
15/01/2014,9.63258333333333,21.2,15.9,0,2014,1,15,4
16/01/2014,9.69735,21.4,15.6,0,2014,1,16,5
17/01/2014,9.64986666666667,21.4,14.6,0,2014,1,17,6
18/01/2014,9.07063333333334,22,16.5,0,2014,1,18,7
19/01/2014,8.46865,22.5,15.4,0,2014,1,19,1
20/01/2014,9.42983333333333,21.9,16.8,0,2014,1,20,2
21/01/2014,9.52418333333333,21.5,16.4,0,2014,1,21,3
22/01/2014,9.50021666666667,22.4,16.9,0,2014,1,22,4
23/01/2014,9.37456666666667,20.5,13.5,0,2014,1,23,5
24/01/2014,9.49543333333333,20,14.6,0,2014,1,24,6
25/01/2014,8.89563333333333,21.1,17,0,2014,1,25,7
26/01/2014,8.1974,21.1,16.8,0,2014,1,26,1
27/01/2014,9.25991666666667,21.4,16.6,0,2014,1,27,2
28/01/2014,9.44521666666667,21.4,15.9,0,2014,1,28,3
29/01/2014,9.56041666666667,22.8,16.3,0,2014,1,29,4
30/01/2014,9.48655,20.1,15,0,2014,1,30,5
31/01/2014,9.49731666666667,21.8,15.8,0,2014,1,31,6
01/02/2014,9.07541666666667,22.3,15.4,0,2014,2,1,7
02/02/2014,8.44326666666667,21.7,15.4,0,2014,2,2,1
03/02/2014,9.5054,21.3,14.8,0,2014,2,3,2
04/02/2014,9.59126666666666,22,15.9,0,2014,2,4,3
05/02/2014,9.57131666666667,20.9,14.7,0,2014,2,5,4
06/02/2014,9.55796666666667,22.1,14.1,0,2014,2,6,5
07/02/2014,9.48158333333333,20.9,16.2,0,2014,2,7,6
08/02/2014,8.94753333333333,20.9,15.5,0,2014,2,8,7
09/02/2014,8.43831666666667,22.7,15.8,0,2014,2,9,1
10/02/2014,9.509,20.5,15.6,0,2014,2,10,2
11/02/2014,9.39315,20.4,15.7,0,2014,2,11,3
12/02/2014,9.33126666666667,21.1,16.1,0,2014,2,12,4
13/02/2014,9.45173333333334,21.9,17.2,0,2014,2,13,5
14/02/2014,9.67488333333334,22.3,15.2,0,2014,2,14,6
15/02/2014,8.81226666666667,18.1,10.3,0,2014,2,15,7
16/02/2014,8.12648,18.7,10.7,0,2014,2,16,1
17/02/2014,9.30616666666667,21.3,12.7,0,2014,2,17,2
18/02/2014,9.2543,20,16,0,2014,2,18,3
19/02/2014,9.18033333333333,20.7,15.9,0,2014,2,19,4
20/02/2014,9.2242,19,14.5,0,2014,2,20,5
21/02/2014,9.31105,20.7,15.8,0,2014,2,21,6
22/02/2014,8.96816666666667,19.3,15.7,0,2014,2,22,7
23/02/2014,8.47675,20.3,14.8,0,2014,2,23,1
24/02/2014,9.30321666666667,19.8,15,0,2014,2,24,2
25/02/2014,9.25483333333333,20.7,15.8,0,2014,2,25,3
26/02/2014,9.18655,21.7,16.6,0,2014,2,26,4
27/02/2014,9.08641666666667,21.9,16.6,0,2014,2,27,5
28/02/2014,9.22506666666667,20.9,16.1,0,2014,2,28,6
01/03/2014,8.70343333333333,21.9,17,0,2014,3,1,7
02/03/2014,8.12263333333333,22.4,15.3,0,2014,3,2,1
03/03/2014,9.03521666666667,20.8,16.6,0,2014,3,3,2
04/03/2014,8.45781666666667,21,16.5,0,2014,3,4,3
05/03/2014,9.24625,21.6,16.7,0,2014,3,5,4
06/03/2014,9.33798333333333,21.5,16.9,0,2014,3,6,5
07/03/2014,9.56023333333333,21.3,16.6,0,2014,3,7,6
08/03/2014,8.93705,20.3,15.2,0,2014,3,8,7
09/03/2014,8.27983333333333,23.9,15.4,0,2014,3,9,1
10/03/2014,9.30851666666667,22.8,14.2,0,2014,3,10,2
11/03/2014,9.33483333333333,22.3,15.4,0,2014,3,11,3
12/03/2014,9.49586666666667,21.9,16.8,0,2014,3,12,4
13/03/2014,9.36433333333333,22.3,16.1,0,2014,3,13,5
14/03/2014,9.24206666666667,21.2,16,0,2014,3,14,6
15/03/2014,8.61735,21.9,16.4,0,2014,3,15,7
16/03/2014,8.15298333333334,21.5,15.7,0,2014,3,16,1
17/03/2014,9.38241666666667,23.5,15.1,0,2014,3,17,2
18/03/2014,9.31203333333333,22.3,16.8,0,2014,3,18,3
19/03/2014,9.32003333333333,21.4,16.9,0,2014,3,19,4
20/03/2014,9.33551666666667,21.1,16.9,0,2014,3,20,5
